id,firstName,lastName,birthday
1,Abdul-Jabbar,Karim,1905-05-27 00:00:00
2,Abdullah,Rabih,1905-05-28 00:00:00
3,Abercrombie,Walter,1905-05-12 00:00:00
4,Abramowicz,Danny,1905-04-28 00:00:00
5,Adams,Bob,1905-04-29 00:00:00
6,Adams,Charlie,1905-06-01 00:00:00
7,Adams,Curtis,1905-05-15 00:00:00
8,Adams,George,1905-05-15 00:00:00
9,Adams,Grant,1905-06-22 00:00:00
10,Adams,John,1905-04-20 00:00:00
11,Adams,Michael,1905-05-27 00:00:00
12,Adamle,Mike,1905-05-02 00:00:00
13,Adams,Tony,1905-05-03 00:00:00
14,Adams,Tom,1905-04-23 00:00:00
15,Adamle,Tony,1905-04-07 00:00:00
16,Adams,Willie,1905-05-09 00:00:00
17,Addai,Joseph,1905-06-05 00:00:00
18,Adkisson,James,1905-06-02 00:00:00
19,Adkins,Margene,1905-04-30 00:00:00
20,Adkins,Sam,1905-05-08 00:00:00
21,Affholter,Erik,1905-05-19 00:00:00
22,Agee,Tommie,1905-05-17 00:00:00
23,Aiken,Sam,1905-06-02 00:00:00
24,Aikman,Troy,1905-05-19 00:00:00
25,Akins,Frank,1905-04-02 00:00:00
26,Albert,Frankie,1905-04-03 00:00:00
27,Aldridge,Bennie,1905-04-09 00:00:00
28,Alexander,Charles,1905-05-10 00:00:00
29,Alexander,Derrick,1905-05-24 00:00:00
30,Alexander,Glenn,1905-04-30 00:00:00
31,Alexander,Jeff,1905-05-18 00:00:00
32,Alexander,Kevin,1905-05-28 00:00:00
33,Alexander,Mike,1905-05-18 00:00:00
34,Alexander,Ray,1905-05-15 00:00:00
35,Alexis,Rich,1905-06-03 00:00:00
36,Alexander,Shaun,1905-05-30 00:00:00
37,Alexander,Stephen,1905-05-28 00:00:00
38,Alford,Brian,1905-05-28 00:00:00
39,Alford,Bruce,1905-04-05 00:00:00
40,Allen,Anthony,1905-05-12 00:00:00
41,Allen,Buddy,1905-04-20 00:00:00
42,Allen,David,1905-05-31 00:00:00
43,Alley,Don,1905-04-28 00:00:00
44,Allen,Don,1905-04-20 00:00:00
45,Allen,Duane,1905-04-20 00:00:00
46,Allen,James,1905-05-28 00:00:00
47,Allen,Jared,1905-06-03 00:00:00
48,Allen,Jerry,1905-04-24 00:00:00
49,Allen,Marcus,1905-05-13 00:00:00
50,Allen,Marvin,1905-05-18 00:00:00
51,Allen,Terry,1905-05-21 00:00:00
